price,neighbourhood,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost,parking
60,Washington Heights,40.83559,-73.94095,Apartment,Private room,1.0,1,1,0.0,-1
250,Manhattan,40.79234,-73.9648199999999,Apartment,Entire home/apt,1.0,1,2,0.0,-1
145,Manhattan,40.77548,-73.95183,Apartment,Private room,1.0,1,1,0.0,-1
200,Williamsburg,40.7108,-73.96226,Loft,Entire home/apt,1.0,1,2,0.0,1
58,Hamilton Heights,40.8272599999999,-73.9444,Apartment,Private room,1.0,1,1,0.0,-1
350,Manhattan,40.728,-73.97903,Apartment,Entire home/apt,2.0,1,1,0.0,-1
299,Brooklyn,40.66859,-73.98235,Townhouse,Entire home/apt,2.0,4,4,0.0,1
125,Manhattan,40.74572,-73.99965,Apartment,Entire home/apt,1.0,1,1,0.0,1
189,Brooklyn,40.68813,-73.92817,House,Entire home/apt,2.5,2,2,1.0,1
100,Kips Bay,40.73903,-73.97975,Apartment,Private room,1.0,1,1,0.0,-1
299,Williamsburg,40.71164,-73.965,Apartment,Entire home/apt,1.0,1,1,0.0,1
110,Park Slope,40.67267,-73.98348,Apartment,Private room,1.0,1,1,0.0,-1
200,Brooklyn,40.64205,-73.97173,House,Entire home/apt,1.5,4,4,0.0,1
260,Brooklyn,40.72183,-73.94908,Apartment,Entire home/apt,1.0,2,3,0.0,1
225,Lower East Side,40.71986,-73.9869,Apartment,Entire home/apt,1.0,2,3,0.0,-1
65,Manhattan,40.81669,-73.9426699999999,Apartment,Private room,1.0,1,1,0.0,-1
99,Manhattan,40.86717,-73.9194,Apartment,Entire home/apt,1.0,2,2,0.0,1
315,Manhattan,40.73204,-74.00189,Apartment,Entire home/apt,1.0,2,2,0.0,-1
229,Williamsburg,40.70147,-73.94378,Condominium,Entire home/apt,1.0,2,4,1.0,1
100,Harlem,40.8162,-73.94747,Apartment,Entire home/apt,1.0,2,2,0.0,1
200,Brooklyn,40.71613,-73.95837,Apartment,Entire home/apt,1.0,1,1,0.0,-1
89,Lower East Side,40.7174599999999,-73.98782,Apartment,Private room,1.0,1,1,0.0,-1
65,Brooklyn,40.68905,-73.9541,Apartment,Private room,1.0,1,1,0.0,1
65,Battery Park City,40.71012,-74.01504,Apartment,Private room,1.0,1,1,0.0,-1
500,Manhattan,40.72203,-74.00988,Loft,Entire home/apt,2.0,3,4,0.0,-1
145,Bedford-Stuyvesant,40.68229,-73.94287,Apartment,Entire home/apt,1.0,2,2,0.0,-1
110,Brooklyn,40.65955,-73.96066,Apartment,Private room,1.0,1,1,0.0,1
180,Hell's Kitchen,40.77137,-73.98943,Apartment,Entire home/apt,2.0,1,2,0.0,-1
115,Prospect Heights,40.67796,-73.96458,Apartment,Entire home/apt,1.0,1,1,0.0,-1
